graph_num,val_roc,val_ap,test_roc,test_ap
512,0.74,0.7959,0.6327,0.6132
511,0.74,0.7959,0.6327,0.6132
510,0.74,0.7959,0.6327,0.6132
509,0.7851,0.8484,0.6529,0.604
508,0.74,0.7959,0.6327,0.6132
507,0.74,0.7959,0.6327,0.6132
506,0.74,0.7959,0.6327,0.6132
505,0.74,0.7959,0.6327,0.6132
504,0.74,0.7959,0.6327,0.6132
503,0.74,0.7959,0.6327,0.6132
502,0.74,0.7959,0.6327,0.6132
501,0.5556,0.5889,0.4286,0.4804
500,0.5556,0.5889,0.4286,0.4804
499,0.5556,0.5889,0.4286,0.4804
498,0.5556,0.5889,0.4286,0.4804
497,0.5556,0.5889,0.4286,0.4804
496,0.5556,0.5889,0.4286,0.4804
495,0.5556,0.5889,0.4286,0.4804
494,0.6719,0.7342,0.4766,0.5574
493,0.6719,0.7342,0.4766,0.5574
492,0.6719,0.7342,0.4766,0.5574
491,0.4444,0.6019,0.5069,0.4978
490,0.4444,0.6019,0.5069,0.4978
489,0.4444,0.6019,0.5069,0.4978
486,0.5,0.5667,0.1719,0.3829
484,0.7778,0.8056,0.6531,0.6519
483,0.7778,0.8056,0.6531,0.6519
482,0.7778,0.8056,0.6531,0.6519
481,0.4444,0.5333,0.6735,0.7742
480,1,1,0.7778,0.8375
479,1,1,0.6667,0.7556
478,1,1,0.6667,0.7556
477,0,0.4167,0.4375,0.5179
476,0,0.4167,0.3125,0.475
475,0,0.5,0,0.3833
474,0.3906,0.6157,0.3875,0.4491
473,0,0.5,0.5,0.5833
471,1,1,0.25,0.5
470,1,1,0.8125,0.8929
469,0.5,0.75,0.4062,0.5
468,0.5,0.5833,0.48,0.52
467,0.5,0.5833,0.48,0.52
466,0.5,0.5833,0.48,0.52
465,0.5,0.5833,0.48,0.52
464,0.5,0.5833,0.48,0.52
463,0.6122,0.5885,0.398,0.4556
462,0.6875,0.6167,0.1975,0.3897
460,0.8056,0.8524,0.5139,0.5101
459,0.625,0.5833,0.4062,0.4821
458,0.4694,0.5326,0.48,0.6152
457,0.4883,0.5375,0.6279,0.6002
456,0.5014,0.4907,0.595,0.5812
455,0.5014,0.4907,0.595,0.5812
454,0.5014,0.4907,0.595,0.5812
453,0.5014,0.4907,0.595,0.5812
452,0.5014,0.4907,0.595,0.5812
451,0.5014,0.4907,0.595,0.5812
450,0.5014,0.4907,0.595,0.5812
449,0.5455,0.5306,0.4234,0.4454
448,0.5612,0.5247,0.5505,0.5446
447,0.5612,0.5247,0.5505,0.5446
446,0.78,0.8433,0.4649,0.509
445,0.5612,0.5247,0.5505,0.5446
444,0.5612,0.5247,0.5505,0.5446
443,0.5612,0.5247,0.5505,0.5446
442,0.5612,0.5247,0.5505,0.5446
441,0.5612,0.5247,0.5505,0.5446
440,0.78,0.8433,0.4649,0.509
439,0.78,0.8433,0.4649,0.509
438,0.61,0.6335,0.5351,0.5781
437,0.61,0.6335,0.5351,0.5781
436,0.6667,0.7556,0.8367,0.801
435,0.2222,0.4667,0.7347,0.733
434,0.625,0.7095,0.6173,0.672
433,0.5625,0.6917,0.5185,0.5256
432,0.84,0.9111,0.7,0.8142
431,0.84,0.9111,0.7,0.8142
430,0.84,0.81,0.4793,0.5324
429,0.84,0.81,0.4793,0.5324
428,0.84,0.81,0.4793,0.5324
427,0.5,0.5833,0.36,0.461
426,0.4444,0.5333,0.7347,0.7888
425,0.7284,0.742,0.5201,0.5325
424,0.4444,0.5556,0.4082,0.4657
423,0.4444,0.5556,0.4082,0.4657
422,0.54,0.5881,0.7029,0.7388
421,0.4694,0.4984,0.4267,0.5073
420,0.4694,0.4984,0.4267,0.5073
419,0.4694,0.4984,0.4267,0.5073
418,0.5102,0.5162,0.4222,0.5026
417,0,0.5,0.5,0.5833
416,0.6543,0.6073,0.5125,0.5727
415,0.6543,0.6073,0.5125,0.5727
414,0.6543,0.6073,0.5125,0.5727
413,0.6543,0.6073,0.5125,0.5727
412,0.6543,0.6073,0.5125,0.5727
411,0.6543,0.6073,0.5125,0.5727
410,0.6296,0.5968,0.4986,0.5644
409,0.625,0.7095,0.5469,0.5757
408,0.3984,0.4463,0.3984,0.4378
407,0.3906,0.4452,0.4141,0.4432
406,0.5,0.5804,0.793,0.7835
405,0.5938,0.6166,0.3789,0.4706
404,0.5938,0.6166,0.3789,0.4706
403,0.5938,0.6166,0.3789,0.4706
402,0.5938,0.6166,0.3789,0.4706
401,0.5781,0.6083,0.3789,0.4701
400,0.5938,0.6166,0.3789,0.4706
376,0.5185,0.7055,0.4784,0.5447
375,0.5185,0.7055,0.4784,0.5447
374,0.5185,0.7055,0.4784,0.5447
373,0.5185,0.7055,0.4784,0.5447
372,0.5185,0.7055,0.4784,0.5447
371,0.6735,0.7575,0.5511,0.6316
370,0.71,0.7071,0.49,0.5134
369,0.6627,0.7112,0.4236,0.4538
368,0.6612,0.7118,0.4244,0.4536
367,0.5244,0.4929,0.5297,0.511
366,0.5244,0.4929,0.5297,0.511
365,0.6627,0.7112,0.4236,0.4538
364,0.6627,0.7112,0.4236,0.4538
363,0.6627,0.7112,0.4236,0.4538
362,0.6627,0.7112,0.4236,0.4538
361,0.375,0.4833,0.5938,0.659
360,0.6627,0.7112,0.4236,0.4538
359,0.6627,0.7112,0.4236,0.4538
358,0.5244,0.4931,0.5203,0.5049
357,0.56,0.5787,0.79,0.7722
356,0.75,0.875,0.4198,0.4768
355,0.5391,0.6571,0.6455,0.6794
354,0.5391,0.6571,0.6455,0.6794
353,0.5391,0.6571,0.6455,0.6794
352,0.5391,0.6571,0.6455,0.6794
351,0.5391,0.6571,0.6455,0.6794
350,0.6831,0.6815,0.6037,0.537
349,0.4863,0.4709,0.5994,0.5597
348,0.5696,0.6054,0.6225,0.5862
347,0.5552,0.5268,0.6159,0.6015
346,0.5552,0.5268,0.6159,0.6015
345,0.568,0.5333,0.6059,0.5928
344,0.5552,0.5268,0.6159,0.6015
343,0.568,0.5333,0.6055,0.5927
342,0.568,0.5333,0.6048,0.5921
341,0.568,0.5333,0.6063,0.593
340,0.39,0.444,0.5873,0.572
339,0.4444,0.4883,0.6019,0.6088
338,0.6,0.7254,0.43,0.4721
337,0.7773,0.8064,0.5987,0.6553
336,0.7578,0.8054,0.5923,0.6635
335,0.6667,0.736,0.7744,0.777
334,0.7578,0.8054,0.5923,0.6635
333,0.7578,0.8054,0.5923,0.6635
332,0.7578,0.8054,0.5923,0.6635
331,0.7578,0.8054,0.5923,0.6635
330,0.7578,0.8054,0.5923,0.6635
329,0.4629,0.5201,0.6772,0.6595
328,0.4629,0.5201,0.6772,0.6595
327,0.4629,0.5201,0.6772,0.6595
326,0.4629,0.5201,0.6772,0.6595
325,0.4629,0.5201,0.6772,0.6595
324,0.7578,0.8054,0.5923,0.6635
323,0.7578,0.8054,0.5923,0.6635
322,0.7578,0.8054,0.5923,0.6635
321,0.72,0.8333,0.8678,0.8998
320,0.7773,0.8064,0.5987,0.6553
319,0.7578,0.8054,0.5923,0.6635
318,0.4707,0.5285,0.677,0.6541
317,0.6667,0.736,0.7744,0.777
316,0.7773,0.8064,0.5987,0.6553
315,0.7773,0.8064,0.5987,0.6553
314,0.7773,0.8064,0.5987,0.6553
313,0.7578,0.8054,0.5923,0.6635
312,0.7773,0.8064,0.5987,0.6553
311,0.7578,0.8054,0.5923,0.6635
310,0.7773,0.8064,0.5987,0.6553
309,0.7578,0.8054,0.5923,0.6635
308,0.7578,0.8054,0.5923,0.6635
307,0.7978,0.8408,0.5562,0.5809
306,0.7578,0.8054,0.5923,0.6635
305,0.7578,0.8054,0.5923,0.6635
304,0.5556,0.5889,0.7551,0.744
303,0.6269,0.6378,0.6192,0.5486
302,0.6269,0.6378,0.6192,0.5486
301,0.6269,0.6378,0.6192,0.5486
300,0.5762,0.612,0.5291,0.5359
299,0.5762,0.612,0.5291,0.5359
298,0.5669,0.5212,0.5706,0.5384
297,0.4898,0.5217,0.4847,0.4873
296,0.6269,0.6378,0.6192,0.5486
295,0.6626,0.5756,0.4936,0.5133
294,0.6269,0.6378,0.6192,0.5486
293,0.6269,0.6378,0.6192,0.5486
292,0.6626,0.5756,0.4936,0.5133
291,0.6269,0.6378,0.6192,0.5486
290,0.6269,0.6378,0.6192,0.5486
289,0.6269,0.6378,0.6192,0.5486
288,0.5625,0.6679,0.7344,0.6469
287,0.5625,0.6679,0.7344,0.6469
286,0.5289,0.591,0.6049,0.6122
285,0.6694,0.6175,0.7342,0.6689
284,0.6725,0.617,0.7243,0.6577
283,0.6039,0.6368,0.6659,0.5881
282,0.6748,0.6194,0.7328,0.6684
281,0.6039,0.6368,0.6659,0.5881
280,0.6867,0.589,0.6692,0.6322
279,0.6039,0.6368,0.6659,0.5881
278,0.78,0.671,0.5988,0.5154
277,0.6039,0.6368,0.6659,0.5881
276,0.6748,0.6194,0.7328,0.6684
275,0.6039,0.6368,0.6659,0.5881
274,0.6039,0.6368,0.6659,0.5881
273,0.6039,0.6368,0.6659,0.5881
272,0.6039,0.6368,0.6659,0.5881
271,0.6694,0.6175,0.7342,0.6689
270,0.6039,0.6368,0.6659,0.5881
269,0.78,0.6722,0.6,0.5177
268,0.8058,0.7139,0.8037,0.8534
267,0.7188,0.7234,0.7452,0.653
266,0.6039,0.6368,0.6659,0.5881
265,0.6039,0.6368,0.6659,0.5881
264,0.6039,0.6368,0.6659,0.5881
263,0.805,0.8306,0.5925,0.5538
262,0.5983,0.6351,0.6735,0.5932
