graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
513,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
529,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
541,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
542,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
531,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
537,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
522,1.9803,0.5388,0.5524,1.9804,0.5184,0.5195
454,1.8592,0.5257,0.5242,1.8642,0.5184,0.5115
305,2.0193,0.5857,0.5928,2.0191,0.5182,0.5224
313,2.0193,0.5857,0.5928,2.0191,0.5182,0.5224
320,2.0193,0.5857,0.5928,2.0191,0.5182,0.5224
319,2.0193,0.5857,0.5928,2.0191,0.5182,0.5224
350,1.7178,0.5362,0.5264,1.7303,0.5181,0.5065
642,1.9784,0.5055,0.5092,1.9784,0.518,0.518
455,1.857,0.5219,0.5222,1.8635,0.5172,0.5088
652,1.9454,0.5503,0.6176,1.9452,0.5171,0.5232
555,1.9687,0.5141,0.5367,1.9673,0.5165,0.5215
333,2.0085,0.5817,0.5982,1.9977,0.5163,0.5139
37,1.9782,0.5453,0.5546,1.9776,0.5162,0.5051
635,1.8379,0.5375,0.5434,1.8404,0.5161,0.5193
288,1.9436,0.5112,0.5509,1.9424,0.5156,0.5121
134,2.0469,0.4737,0.5072,2.0437,0.5139,0.5092
135,2.0527,0.4736,0.5036,1.9972,0.5132,0.509
348,1.8484,0.5246,0.5352,1.8592,0.5129,0.5054
492,1.9011,0.5338,0.5684,1.9014,0.5127,0.5231
493,1.9011,0.5338,0.5684,1.9014,0.5127,0.5231
298,1.9027,0.5162,0.5206,1.9025,0.5126,0.5085
582,1.8603,0.5272,0.5819,1.8903,0.5122,0.5009
563,2.0157,0.5269,0.5665,2.0163,0.5119,0.5214
450,1.8834,0.5222,0.5278,1.8778,0.5117,0.4983
287,1.908,0.5098,0.537,1.8656,0.5112,0.5019
574,1.839,0.5573,0.5732,1.8401,0.5111,0.5059
453,1.9749,0.5176,0.5318,1.9745,0.511,0.5103
456,1.9801,0.5105,0.5186,1.9801,0.5096,0.5081
516,1.9469,0.526,0.5388,1.9469,0.5095,0.5102
115,2.2534,0.5363,0.5188,2.2532,0.5094,0.4998
58,2.0105,0.5697,0.5695,2.0156,0.5088,0.5059
54,2.0105,0.5697,0.5695,2.0156,0.5088,0.5059
55,2.0105,0.5697,0.5695,2.0156,0.5088,0.5059
106,1.9815,0.5136,0.5116,1.9815,0.5088,0.5061
62,2.0115,0.5749,0.5793,2.016,0.5087,0.5053
494,1.9011,0.5389,0.5766,1.9014,0.5086,0.5166
5,1.9806,0.5781,0.6599,1.9806,0.5085,0.4969
4,1.9806,0.5781,0.6599,1.9806,0.5085,0.4969
3,1.9806,0.5781,0.6599,1.9806,0.5085,0.4969
564,2.0146,0.5377,0.5913,2.0154,0.5085,0.5109
2,1.9806,0.577,0.6612,1.9806,0.5082,0.4966
0,1.9806,0.577,0.6612,1.9806,0.5082,0.4966
6,1.9806,0.5778,0.6632,1.9806,0.5076,0.4954
349,1.8445,0.4952,0.5022,1.8442,0.5072,0.5012
532,1.8444,0.5193,0.527,1.8443,0.507,0.5114
547,1.9459,0.5357,0.5777,1.9457,0.5067,0.4985
71,1.9814,0.5225,0.528,1.9814,0.5061,0.5009
374,1.9466,0.5451,0.6061,1.9465,0.5055,0.5188
373,1.9466,0.5451,0.6061,1.9465,0.5055,0.5188
133,1.9793,0.5029,0.4981,1.9792,0.5055,0.5114
32,1.9422,0.5358,0.5561,1.9427,0.5044,0.5015
17,1.9443,0.537,0.5595,1.9445,0.5043,0.501
18,1.9443,0.537,0.5595,1.9445,0.5043,0.501
